Category,Switzerland,United Kingdom,Spain
CPI score 2019,85,77,62
Sources 2019,7,8,8
Standard error 2019,1.6,3.3,3.2
CPI score 2018,85,80,58
Sources 2018,7,8,8
Standard error 2018,1.6,2,4.3
CPI score 2017,85,82,57
Sources 2017,7,8,8
Standard error 2017,1.7,1.7,3.8
CPI score 2016,86,81,58
Sources 2016,6,7,7
Standard error 2016,1.6,2.1,4.1
CPI score 2015,86,81,58
Sources 2015,6,7,7
Standard error 2015,2.6,2.4,4.1
CPI score 2014,86,78,60
Sources 2014,6,7,7
Standard error 2014,2.6,2.1,3.8
CPI Score 2013,85,76,59
Sources 2013,6,8,7
Standard error 2013,2.5,1.3,4.9
CPI Score 2012,86,74,65
Sources 2012,6,8,7
Standard error 2012,2.6,1.3,2.9